Genuine Balloonicorn | 38 ref
Upgrade to Premium Gift | 41.1000000000001 ref
Non-Craftable Voodoo Juju | 54.6500000000001 ref
Strange Australium Wrench | 428.38888888889 ref
A Distinctive Lack of Hue | 40.4333333333334 ref
Non-Craftable A Random Duck Token Gift | 60.7222222222223 ref
Strange AWPer Hand | 207.716666666667 ref
Strange All-Father | 91.0833333333335 ref
Strange Australium Ambassador | 271.105555555556 ref
An Extraordinary Abundance of Tinge | 40.4333333333334 ref
Strange Antarctic Researcher | 55.5366666666668 ref
Genuine Archimedes | 41.7666666666667 ref
Strange Australium Axtinguisher | 145.475555555556 ref
Genuine Balloonicorn | 35.55 ref
Bill's Hat | 36.4333333333334 ref
Strange Australium Black Box | 337.305555555556 ref
Strange Blood Botkiller Knife Mk.I | 29.6222222222223 ref
Strange Blood Botkiller Medi Gun Mk.I | 35.6222222222223 ref
Strange Blood Botkiller Minigun Mk.I | 32.3611111111112 ref
Strange Blood Botkiller Rocket Launcher Mk.I | 54.6500000000001 ref
Strange Blood Botkiller Scattergun Mk.I | 44.4333333333334 ref
Strange Blood Botkiller Sniper Rifle Mk.I | 49.7666666666667 ref
Strange Blood Botkiller Wrench Mk.I | 37.3611111111112 ref
Strange Australium Blutsauger | 182.166666666667 ref
Strange Bonk Boy | 65.8700000000001 ref
Genuine Buck Turner All-Stars | 35.2166666666667 ref
Strange Cold Snap Coat | 91.0833333333335 ref
Strange Combat Slacks | 53.5777777777779 ref
Strange Construction PDA | 135.516666666667 ref
Strange Cute Suit | 54.6500000000001 ref
Genuine Dashin' Hashshashin | 53.1722222222223 ref
Strange Diamond Botkiller Rocket Launcher Mk.I | 37.1000000000001 ref
Strange Diamond Botkiller Scattergun Mk.I | 36.4333333333334 ref
Strange Diamond Botkiller Sniper Rifle Mk.I | 31.2166666666667 ref
Strange Diamond Botkiller Wrench Mk.I | 35.3611111111112 ref
Strange Disciplinary Action | 36.3611111111112 ref
Earbuds | 54.9833333333334 ref
Strange Ein | 48.5055555555556 ref
Genuine El Jefe | 35.2888888888889 ref
Strange Australium Eyelander | 628.772222222223 ref
Strange Fancy Dress Uniform | 57.3166666666668 ref
Strange Festive Ambassador | 71.838888888889 ref
Strange Festive Bat | 182.166666666667 ref
Strange Festive Black Box | 40.1000000000001 ref
Strange Festive Buff Banner | 35.3611111111112 ref
Strange Festive Eyelander | 36.0277777777778 ref
Strange Festive Flame Thrower | 106.561111111111 ref
Strange Festive Grenade Launcher | 68.7222222222223 ref
Strange Festive Holy Mackerel | 36.4333333333334 ref
Strange Festive Huntsman | 112.3 ref
Strange Festive Knife | 182.166666666667 ref
Strange Festive Medi Gun | 455.416666666668 ref
Strange Festive Minigun | 173.283333333334 ref
Strange Festive Rocket Launcher | 327.900000000001 ref
Strange Festive Sandvich | 72.7944444444446 ref
Strange Festive Scattergun | 381.144444444445 ref
Strange Festive Shotgun | 54.5777777777779 ref
Strange Festive Stickybomb Launcher | 140.255555555556 ref
Strange Festive Ubersaw | 56.9833333333334 ref
Strange Festive Wrench | 208.716666666667 ref
Fireproof Secret Diary | 252.294444444445 ref
Strange Australium Flame Thrower | 273.250000000001 ref
Non-Craftable Flip-Flops | 60.7222222222223 ref
Strange Australium Force-A-Nature | 236.816666666667 ref
Strange Australium Frontier Justice | 198.977777777778 ref
Strange Frying Pan | 127.516666666667 ref
Strange Gold Botkiller Knife Mk.I | 40.7666666666667 ref
Strange Gold Botkiller Knife Mk.II | 35.3266666666667 ref
Strange Gold Botkiller Medi Gun Mk.I | 42.5055555555556 ref
Strange Gold Botkiller Medi Gun Mk.II | 34.6222222222223 ref
Strange Gold Botkiller Minigun Mk.I | 41.4333333333334 ref
Strange Gold Botkiller Rocket Launcher Mk.I | 70.1277777777779 ref
Strange Gold Botkiller Rocket Launcher Mk.II | 43.7666666666667 ref
Strange Gold Botkiller Scattergun Mk.II | 44.1000000000001 ref
Strange Gold Botkiller Sniper Rifle Mk.II | 46.1000000000001 ref
Strange Gold Botkiller Stickybomb Launcher Mk.I | 39.1000000000001 ref
Strange Gold Botkiller Wrench Mk.I | 64.6500000000001 ref
Strange Gold Botkiller Wrench Mk.II | 54.6500000000001 ref
Strange Gone Commando | 34.2166666666667 ref
Genuine Grandmaster | 111.966666666667 ref
Strange Australium Grenade Launcher | 314.683333333334 ref
Strange Ground Control | 36.4333333333334 ref
Strange Gunslinger | 319.088888888889 ref
Halloween Spell: Bruised Purple Footprints | 72.8666666666668 ref
Halloween Spell: Spectral Flame | 36.4333333333334 ref
Strange Holstered Heaters | 31.3611111111112 ref
Strange Holy Mackerel | 36.4333333333334 ref
Genuine Horace | 138.922222222222 ref
Strange Huntsman | 72.7944444444446 ref
Strange Invis Watch | 37.7666666666667 ref
Strange Australium Knife | 361.594444444445 ref
Strange Lady Killer | 36.8433333333334 ref
Strange Law | 46.4333333333334 ref
Genuine Little Bear | 218.6 ref
Strange Loose Cannon | 51.838888888889 ref
Non-Craftable Lucky No. 42 | 28.6222222222223 ref
Vintage Lugermorph | 106.083333333334 ref
Strange Machina | 218.6 ref
Mann Co. Supply Crate Key | 18.2166666666667 ref
Strange Mann of the Seven Sees | 40.1000000000001 ref
Max's Severed Head | 434.461111111112 ref
Strange Australium Medi Gun | 467.561111111112 ref
Genuine Merc's Pride Scarf | 45.7666666666667 ref
Strange Australium Minigun | 382.550000000001 ref
Strange Original | 81.5333333333335 ref
Genuine Point and Shoot | 31.1444444444445 ref
Strange Pyromancer's Hood | 30.2888888888889 ref
Pyrovision Goggles | 33.6944444444445 ref
Strange Righteous Bison | 53.5777777777779 ref
Strange Australium Rocket Launcher | 916.905555555557 ref
Strange Australium SMG | 161.805555555556 ref
Strange Sangu Sleeves | 36.4333333333334 ref
Strange Australium Scattergun | 614.88888888889 ref
Genuine Sharp Dresser | 54.6500000000001 ref
Strange Snack Attack | 55.4333333333334 ref
Strange Australium Sniper Rifle | 598.077777777779 ref
Strange Snow Sleeves | 39.7666666666667 ref
Strange Sole Mate | 36.4333333333334 ref
Spine-Chilling Skull | 37.0277777777778 ref
Non-Craftable Spine-Chilling Skull | 34.3611111111112 ref
Non-Craftable Spine-Chilling Skull 2011 | 36.4333333333334 ref
Strange Australium Stickybomb Launcher | 285.394444444445 ref
Strange Bacon Grease | 163.95 ref
Strange Part: Airborne Enemies Killed | 36.4333333333334 ref
Strange Part: Allied Healing Done | 36.4333333333334 ref
Strange Part: Critical Kills | 60.9833333333334 ref
Strange Part: Damage Dealt | 106.822222222222 ref
Strange Part: Domination Kills | 58.4266666666668 ref
Strange Part: Kills with a Taunt Attack | 36.4333333333334 ref
Strange Part: Projectiles Reflected | 50.4333333333334 ref
Strange Part: Robots Destroyed | 54.6500000000001 ref
Summer Adventure Pack | 35.3611111111112 ref
Non-Craftable Summer Hat | 118.633333333334 ref
Taunt: Pool Party | 56.9833333333334 ref
Taunt: The Boston Breakdance | 33.8833333333334 ref
Strange Texas Ten Gallon | 36.4333333333334 ref
Strange Thermal Tracker | 36.5088888888889 ref
Strange Australium Tomislav | 161.211111111111 ref
Towering Pillar Of Summer Shades | 288.061111111112 ref
Strange Ullapool Caber | 71.0555555555557 ref
Upgrade to Premium Gift | 41.1000000000001 ref
Non-Craftable Voodoo Juju | 54.6500000000001 ref
Strange Australium Wrench | 428.38888888889 ref
A Distinctive Lack of Hue | 40.4333333333334 ref
Non-Craftable A Random Duck Token Gift | 60.7222222222223 ref
Strange AWPer Hand | 208.383333333334 ref
Strange All-Father | 91.0833333333335 ref
Strange Australium Ambassador | 271.105555555556 ref
An Extraordinary Abundance of Tinge | 40.4333333333334 ref
Strange Antarctic Researcher | 55.5366666666668 ref
Genuine Archimedes | 41.7666666666667 ref
Strange Australium Axtinguisher | 145.475555555556 ref
Genuine Balloonicorn | 35.55 ref
Bill's Hat | 36.4333333333334 ref
Strange Australium Black Box | 337.305555555556 ref
Strange Blood Botkiller Knife Mk.I | 29.6222222222223 ref
Strange Blood Botkiller Medi Gun Mk.I | 35.6222222222223 ref
Strange Blood Botkiller Minigun Mk.I | 32.3611111111112 ref
Strange Blood Botkiller Rocket Launcher Mk.I | 54.6500000000001 ref
Strange Blood Botkiller Scattergun Mk.I | 44.4333333333334 ref
Strange Blood Botkiller Sniper Rifle Mk.I | 49.7666666666667 ref
Strange Blood Botkiller Wrench Mk.I | 37.3611111111112 ref
Strange Australium Blutsauger | 182.166666666667 ref
Strange Bonk Boy | 65.8700000000001 ref
Genuine Buck Turner All-Stars | 35.2166666666667 ref
Strange Cold Snap Coat | 91.0833333333335 ref
Strange Combat Slacks | 53.5777777777779 ref
Strange Construction PDA | 135.183333333334 ref
Strange Cute Suit | 54.6500000000001 ref
Genuine Dashin' Hashshashin | 53.1722222222223 ref
Strange Diamond Botkiller Rocket Launcher Mk.I | 37.1000000000001 ref
Strange Diamond Botkiller Scattergun Mk.I | 36.4333333333334 ref
Strange Diamond Botkiller Sniper Rifle Mk.I | 31.2166666666667 ref
Strange Diamond Botkiller Wrench Mk.I | 35.3611111111112 ref
Strange Disciplinary Action | 35.2888888888889 ref
Earbuds | 54.9833333333334 ref
Strange Ein | 48.5055555555556 ref
Genuine El Jefe | 35.2888888888889 ref
Strange Australium Eyelander | 628.772222222223 ref
Strange Fancy Dress Uniform | 57.3166666666668 ref
Strange Festive Ambassador | 71.838888888889 ref
Strange Festive Bat | 182.166666666667 ref
Strange Festive Black Box | 40.1000000000001 ref
Strange Festive Buff Banner | 35.3611111111112 ref
Strange Festive Eyelander | 36.0277777777778 ref
Strange Festive Flame Thrower | 106.561111111111 ref
Strange Festive Grenade Launcher | 68.7222222222223 ref
Strange Festive Holy Mackerel | 36.4333333333334 ref
Strange Festive Huntsman | 112.3 ref
Strange Festive Knife | 182.166666666667 ref
Strange Festive Medi Gun | 455.416666666668 ref
Strange Festive Minigun | 173.283333333334 ref
Strange Festive Rocket Launcher | 327.900000000001 ref
Strange Festive Sandvich | 72.7944444444446 ref
Strange Festive Scattergun | 381.144444444445 ref
Strange Festive Shotgun | 54.5777777777779 ref
Strange Festive Stickybomb Launcher | 140.255555555556 ref
Strange Festive Ubersaw | 56.9833333333334 ref
Strange Festive Wrench | 208.716666666667 ref
Fireproof Secret Diary | 252.294444444445 ref
Strange Australium Flame Thrower | 273.250000000001 ref
Non-Craftable Flip-Flops | 60.7222222222223 ref
Strange Australium Force-A-Nature | 236.816666666667 ref
Strange Australium Frontier Justice | 198.977777777778 ref
Strange Frying Pan | 127.516666666667 ref
Strange Gold Botkiller Knife Mk.I | 40.7666666666667 ref
Strange Gold Botkiller Knife Mk.II | 35.3266666666667 ref
Strange Gold Botkiller Medi Gun Mk.I | 42.5055555555556 ref
Strange Gold Botkiller Medi Gun Mk.II | 34.6222222222223 ref
Strange Gold Botkiller Minigun Mk.I | 41.4333333333334 ref
Strange Gold Botkiller Rocket Launcher Mk.I | 70.1277777777779 ref
Strange Gold Botkiller Rocket Launcher Mk.II | 43.7666666666667 ref
Strange Gold Botkiller Scattergun Mk.II | 44.1000000000001 ref
Strange Gold Botkiller Sniper Rifle Mk.II | 46.1000000000001 ref
Strange Gold Botkiller Stickybomb Launcher Mk.I | 39.1000000000001 ref
Strange Gold Botkiller Wrench Mk.I | 64.6500000000001 ref
Strange Gold Botkiller Wrench Mk.II | 54.6500000000001 ref
Strange Gone Commando | 34.2166666666667 ref
Genuine Grandmaster | 111.966666666667 ref
Strange Australium Grenade Launcher | 314.683333333334 ref
Strange Ground Control | 36.4333333333334 ref
Strange Gunslinger | 319.088888888889 ref
Halloween Spell: Bruised Purple Footprints | 72.8666666666668 ref
Halloween Spell: Spectral Flame | 36.4333333333334 ref
Strange Holstered Heaters | 31.3611111111112 ref
Strange Holy Mackerel | 36.4333333333334 ref
Genuine Horace | 138.922222222222 ref
Strange Huntsman | 72.7944444444446 ref
Strange Invis Watch | 37.7666666666667 ref
Strange Australium Knife | 361.594444444445 ref
Strange Lady Killer | 36.8433333333334 ref
Strange Law | 46.4333333333334 ref
Genuine Little Bear | 218.6 ref
Strange Loose Cannon | 51.838888888889 ref
Non-Craftable Lucky No. 42 | 28.6222222222223 ref
Vintage Lugermorph | 106.083333333334 ref
Strange Machina | 218.6 ref
Mann Co. Supply Crate Key | 18.2166666666667 ref
Strange Mann of the Seven Sees | 40.1000000000001 ref
Max's Severed Head | 437.200000000001 ref
Strange Australium Medi Gun | 467.561111111112 ref
Genuine Merc's Pride Scarf | 45.7666666666667 ref
Strange Australium Minigun | 382.550000000001 ref
Strange Original | 81.5333333333335 ref
Genuine Point and Shoot | 31.1444444444445 ref
Strange Pyromancer's Hood | 30.2888888888889 ref
Pyrovision Goggles | 33.6944444444445 ref
Strange Righteous Bison | 53.5777777777779 ref
Strange Australium Rocket Launcher | 916.905555555557 ref
Strange Australium SMG | 161.805555555556 ref
Strange Sangu Sleeves | 36.4333333333334 ref
Strange Australium Scattergun | 614.88888888889 ref
Genuine Sharp Dresser | 54.6500000000001 ref
Strange Snack Attack | 55.4333333333334 ref
Strange Australium Sniper Rifle | 598.077777777779 ref
Strange Snow Sleeves | 39.7666666666667 ref
Strange Sole Mate | 36.4333333333334 ref
Spine-Chilling Skull | 37.0277777777778 ref
Non-Craftable Spine-Chilling Skull | 34.3611111111112 ref
Non-Craftable Spine-Chilling Skull 2011 | 36.4333333333334 ref
Strange Australium Stickybomb Launcher | 291.466666666667 ref
Strange Bacon Grease | 163.95 ref
Strange Part: Airborne Enemies Killed | 36.4333333333334 ref
Strange Part: Allied Healing Done | 36.4333333333334 ref
Strange Part: Critical Kills | 60.9833333333334 ref
Strange Part: Damage Dealt | 106.822222222222 ref
Strange Part: Domination Kills | 58.4266666666668 ref
Strange Part: Kills with a Taunt Attack | 36.4333333333334 ref
Strange Part: Projectiles Reflected | 50.4333333333334 ref
Strange Part: Robots Destroyed | 54.6500000000001 ref
Summer Adventure Pack | 35.3611111111112 ref
Non-Craftable Summer Hat | 118.633333333334 ref
Taunt: Pool Party | 56.9833333333334 ref
Taunt: The Boston Breakdance | 33.8833333333334 ref
Strange Texas Ten Gallon | 36.4333333333334 ref
Strange Thermal Tracker | 36.5088888888889 ref
Strange Australium Tomislav | 161.211111111111 ref
Towering Pillar Of Summer Shades | 288.061111111112 ref
Strange Ullapool Caber | 71.0555555555557 ref
Upgrade to Premium Gift | 41.1000000000001 ref
Non-Craftable Voodoo Juju | 54.6500000000001 ref
Strange Australium Wrench | 428.38888888889 ref
A Distinctive Lack of Hue | 40.4333333333334 ref
Non-Craftable A Random Duck Token Gift | 60.7222222222223 ref
Strange AWPer Hand | 214.455555555556 ref
Strange All-Father | 91.0833333333335 ref
Strange Australium Ambassador | 271.105555555556 ref
An Extraordinary Abundance of Tinge | 40.4333333333334 ref
Strange Antarctic Researcher | 55.5366666666668 ref
Genuine Archimedes | 41.7666666666667 ref
Strange Australium Axtinguisher | 145.475555555556 ref
Genuine Balloonicorn | 35.55 ref
Bill's Hat | 36.4333333333334 ref
Strange Australium Black Box | 337.305555555556 ref
Strange Blood Botkiller Knife Mk.I | 29.6222222222223 ref
Strange Blood Botkiller Medi Gun Mk.I | 35.6222222222223 ref
Strange Blood Botkiller Minigun Mk.I | 32.3611111111112 ref
Strange Blood Botkiller Rocket Launcher Mk.I | 54.6500000000001 ref
Strange Blood Botkiller Scattergun Mk.I | 44.4333333333334 ref
Strange Blood Botkiller Sniper Rifle Mk.I | 49.7666666666667 ref
Strange Blood Botkiller Wrench Mk.I | 37.3611111111112 ref
Strange Australium Blutsauger | 182.166666666667 ref
Strange Bonk Boy | 65.8700000000001 ref
Genuine Buck Turner All-Stars | 35.2166666666667 ref
Strange Cold Snap Coat | 91.0833333333335 ref
Strange Combat Slacks | 53.5777777777779 ref
Strange Construction PDA | 135.183333333334 ref
Strange Cute Suit | 54.6500000000001 ref
Genuine Dashin' Hashshashin | 53.1722222222223 ref
Strange Diamond Botkiller Rocket Launcher Mk.I | 37.1000000000001 ref
Strange Diamond Botkiller Scattergun Mk.I | 36.4333333333334 ref
Strange Diamond Botkiller Sniper Rifle Mk.I | 31.2166666666667 ref
Strange Diamond Botkiller Wrench Mk.I | 35.3611111111112 ref
Strange Disciplinary Action | 35.2888888888889 ref
Earbuds | 54.9833333333334 ref
Strange Ein | 48.5055555555556 ref
Genuine El Jefe | 35.2888888888889 ref
Strange Australium Eyelander | 628.772222222223 ref
Strange Fancy Dress Uniform | 57.3166666666668 ref
Strange Festive Ambassador | 71.838888888889 ref
Strange Festive Bat | 182.166666666667 ref
Strange Festive Black Box | 40.1000000000001 ref
Strange Festive Buff Banner | 35.3611111111112 ref
Strange Festive Eyelander | 36.0277777777778 ref
Strange Festive Flame Thrower | 106.561111111111 ref
Strange Festive Grenade Launcher | 68.7222222222223 ref
Strange Festive Holy Mackerel | 36.4333333333334 ref
Strange Festive Huntsman | 112.3 ref
Strange Festive Knife | 182.166666666667 ref
Strange Festive Medi Gun | 455.416666666668 ref
Strange Festive Minigun | 173.283333333334 ref
Strange Festive Rocket Launcher | 327.900000000001 ref
Strange Festive Sandvich | 72.7944444444446 ref
Strange Festive Scattergun | 381.144444444445 ref
Strange Festive Shotgun | 54.5777777777779 ref
Strange Festive Stickybomb Launcher | 140.255555555556 ref
Strange Festive Ubersaw | 56.9833333333334 ref
Strange Festive Wrench | 208.716666666667 ref
Fireproof Secret Diary | 252.294444444445 ref
Strange Australium Flame Thrower | 273.250000000001 ref
Non-Craftable Flip-Flops | 60.7222222222223 ref
Strange Australium Force-A-Nature | 236.816666666667 ref
Strange Australium Frontier Justice | 198.977777777778 ref
Strange Frying Pan | 127.516666666667 ref
Strange Gold Botkiller Knife Mk.I | 40.7666666666667 ref
Strange Gold Botkiller Knife Mk.II | 35.3266666666667 ref
Strange Gold Botkiller Medi Gun Mk.I | 42.5055555555556 ref
Strange Gold Botkiller Medi Gun Mk.II | 34.6222222222223 ref
Strange Gold Botkiller Minigun Mk.I | 41.4333333333334 ref
Strange Gold Botkiller Rocket Launcher Mk.I | 70.1277777777779 ref
Strange Gold Botkiller Rocket Launcher Mk.II | 43.7666666666667 ref
Strange Gold Botkiller Scattergun Mk.II | 44.1000000000001 ref
Strange Gold Botkiller Sniper Rifle Mk.II | 46.1000000000001 ref
Strange Gold Botkiller Stickybomb Launcher Mk.I | 39.1000000000001 ref
Strange Gold Botkiller Wrench Mk.I | 64.6500000000001 ref
Strange Gold Botkiller Wrench Mk.II | 54.6500000000001 ref
Strange Gone Commando | 34.2166666666667 ref
Genuine Grandmaster | 111.966666666667 ref
Strange Australium Grenade Launcher | 314.683333333334 ref
Strange Ground Control | 36.4333333333334 ref
Strange Gunslinger | 319.088888888889 ref
Halloween Spell: Bruised Purple Footprints | 72.8666666666668 ref
Halloween Spell: Spectral Flame | 36.4333333333334 ref
Strange Holstered Heaters | 31.3611111111112 ref
Strange Holy Mackerel | 36.4333333333334 ref
Genuine Horace | 138.922222222222 ref
Strange Huntsman | 72.7944444444446 ref
Strange Invis Watch | 37.7666666666667 ref
Strange Australium Knife | 361.594444444445 ref
Strange Lady Killer | 36.8433333333334 ref
Strange Law | 46.4333333333334 ref
Genuine Little Bear | 218.6 ref
Strange Loose Cannon | 51.838888888889 ref
Non-Craftable Lucky No. 42 | 28.6222222222223 ref
Vintage Lugermorph | 106.083333333334 ref
Strange Machina | 218.6 ref
Mann Co. Supply Crate Key | 18.2166666666667 ref
Strange Mann of the Seven Sees | 40.1000000000001 ref
Max's Severed Head | 437.200000000001 ref
Strange Australium Medi Gun | 467.561111111112 ref
Genuine Merc's Pride Scarf | 45.7666666666667 ref
Strange Australium Minigun | 382.550000000001 ref
Strange Original | 81.5333333333335 ref
Genuine Point and Shoot | 31.1444444444445 ref
Strange Pyromancer's Hood | 30.2888888888889 ref
Pyrovision Goggles | 33.6944444444445 ref
Strange Righteous Bison | 53.5777777777779 ref
Strange Australium Rocket Launcher | 916.905555555557 ref
Strange Australium SMG | 161.805555555556 ref
Strange Sangu Sleeves | 36.4333333333334 ref
Strange Australium Scattergun | 614.88888888889 ref
Genuine Sharp Dresser | 54.6500000000001 ref
Genuine Shred Alert | 32.4777777777778 ref
Strange Snack Attack | 55.4333333333334 ref
Strange Australium Sniper Rifle | 598.077777777779 ref
Strange Snow Sleeves | 39.7666666666667 ref
Strange Sole Mate | 36.4333333333334 ref
Spine-Chilling Skull | 37.0277777777778 ref
Non-Craftable Spine-Chilling Skull | 34.3611111111112 ref
Non-Craftable Spine-Chilling Skull 2011 | 36.4333333333334 ref
Strange Australium Stickybomb Launcher | 291.466666666667 ref
Strange Bacon Grease | 163.95 ref
Strange Part: Airborne Enemies Killed | 36.4333333333334 ref
Strange Part: Allied Healing Done | 36.4333333333334 ref
Strange Part: Critical Kills | 60.9833333333334 ref
Strange Part: Damage Dealt | 106.822222222222 ref
Strange Part: Domination Kills | 58.4266666666668 ref
Strange Part: Kills with a Taunt Attack | 36.4333333333334 ref
Strange Part: Projectiles Reflected | 50.4333333333334 ref
Strange Part: Robots Destroyed | 54.6500000000001 ref
Summer Adventure Pack | 35.3611111111112 ref
Non-Craftable Summer Hat | 118.633333333334 ref
Taunt: Pool Party | 56.9833333333334 ref
Taunt: The Boston Breakdance | 33.8833333333334 ref
Strange Texas Ten Gallon | 36.4333333333334 ref
Strange Thermal Tracker | 36.5088888888889 ref
Strange Australium Tomislav | 161.211111111111 ref
Towering Pillar Of Summer Shades | 288.061111111112 ref
Strange Ullapool Caber | 71.0555555555557 ref
Upgrade to Premium Gift | 40.1000000000001 ref
Non-Craftable Voodoo Juju | 54.6500000000001 ref
Strange Australium Wrench | 428.38888888889 ref
A Distinctive Lack of Hue | 40.4333333333334 ref
Non-Craftable A Random Duck Token Gift | 60.7222222222223 ref
Strange AWPer Hand | 214.455555555556 ref
Strange All-Father | 91.0833333333335 ref
Strange Australium Ambassador | 271.105555555556 ref
An Extraordinary Abundance of Tinge | 40.4333333333334 ref
Strange Antarctic Researcher | 55.5366666666668 ref
Genuine Archimedes | 41.7666666666667 ref
Strange Australium Axtinguisher | 145.475555555556 ref
Genuine Balloonicorn | 35.55 ref
Bill's Hat | 36.4333333333334 ref
Strange Australium Black Box | 337.305555555556 ref
Strange Blood Botkiller Knife Mk.I | 29.6222222222223 ref
Strange Blood Botkiller Medi Gun Mk.I | 35.6222222222223 ref
Strange Blood Botkiller Minigun Mk.I | 32.3611111111112 ref
Strange Blood Botkiller Rocket Launcher Mk.I | 54.6500000000001 ref
Strange Blood Botkiller Scattergun Mk.I | 44.4333333333334 ref
Strange Blood Botkiller Sniper Rifle Mk.I | 49.7666666666667 ref
Strange Blood Botkiller Wrench Mk.I | 37.3611111111112 ref
Strange Australium Blutsauger | 182.166666666667 ref
Strange Bonk Boy | 65.8700000000001 ref
Genuine Buck Turner All-Stars | 35.2166666666667 ref
Strange Cold Snap Coat | 91.0833333333335 ref
Strange Combat Slacks | 53.5777777777779 ref
Strange Construction PDA | 135.183333333334 ref
Strange Cute Suit | 54.6500000000001 ref
Genuine Dashin' Hashshashin | 53.1722222222223 ref
Strange Diamond Botkiller Rocket Launcher Mk.I | 37.1000000000001 ref
Strange Diamond Botkiller Scattergun Mk.I | 36.4333333333334 ref
Strange Diamond Botkiller Sniper Rifle Mk.I | 31.2166666666667 ref
Strange Diamond Botkiller Wrench Mk.I | 35.3611111111112 ref
Strange Disciplinary Action | 35.2888888888889 ref
Earbuds | 54.9833333333334 ref
Strange Ein | 48.5055555555556 ref
Genuine El Jefe | 35.6944444444445 ref
Strange Australium Eyelander | 622.700000000001 ref
Strange Fancy Dress Uniform | 57.3166666666668 ref
Strange Festive Ambassador | 71.838888888889 ref
Strange Festive Bat | 182.166666666667 ref
Strange Festive Black Box | 40.1000000000001 ref
Strange Festive Buff Banner | 35.3611111111112 ref
Strange Festive Eyelander | 36.0277777777778 ref
Strange Festive Flame Thrower | 106.561111111111 ref
Strange Festive Grenade Launcher | 68.7222222222223 ref
Strange Festive Holy Mackerel | 36.4333333333334 ref
Strange Festive Huntsman | 112.3 ref
Strange Festive Knife | 182.166666666667 ref
Strange Festive Medi Gun | 455.416666666668 ref
Strange Festive Minigun | 173.283333333334 ref
Strange Festive Rocket Launcher | 327.900000000001 ref
Strange Festive Sandvich | 72.7944444444446 ref
Strange Festive Scattergun | 381.144444444445 ref
Strange Festive Shotgun | 54.5777777777779 ref
Strange Festive Stickybomb Launcher | 140.255555555556 ref
Strange Festive Ubersaw | 56.9833333333334 ref
Strange Festive Wrench | 208.716666666667 ref
Fireproof Secret Diary | 252.294444444445 ref
Strange Australium Flame Thrower | 273.250000000001 ref
Non-Craftable Flip-Flops | 60.7222222222223 ref
Strange Australium Force-A-Nature | 236.816666666667 ref
Strange Australium Frontier Justice | 198.977777777778 ref
Strange Frying Pan | 127.516666666667 ref
Strange Gold Botkiller Knife Mk.I | 40.7666666666667 ref
Strange Gold Botkiller Knife Mk.II | 35.3266666666667 ref
Strange Gold Botkiller Medi Gun Mk.I | 42.5055555555556 ref
Strange Gold Botkiller Medi Gun Mk.II | 34.6222222222223 ref
Strange Gold Botkiller Minigun Mk.I | 41.4333333333334 ref
Strange Gold Botkiller Rocket Launcher Mk.I | 70.1277777777779 ref
Strange Gold Botkiller Rocket Launcher Mk.II | 43.7666666666667 ref
Strange Gold Botkiller Scattergun Mk.II | 44.1000000000001 ref
Strange Gold Botkiller Sniper Rifle Mk.II | 46.1000000000001 ref
Strange Gold Botkiller Stickybomb Launcher Mk.I | 39.1000000000001 ref
Strange Gold Botkiller Wrench Mk.I | 64.6500000000001 ref
Strange Gold Botkiller Wrench Mk.II | 54.6500000000001 ref
Strange Gone Commando | 34.2166666666667 ref
Genuine Grandmaster | 111.966666666667 ref
Strange Australium Grenade Launcher | 314.683333333334 ref
Strange Ground Control | 36.4333333333334 ref
Strange Gunslinger | 319.088888888889 ref
Halloween Spell: Bruised Purple Footprints | 72.8666666666668 ref
Halloween Spell: Spectral Flame | 36.4333333333334 ref
Strange Holstered Heaters | 31.3611111111112 ref
Strange Holy Mackerel | 36.4333333333334 ref
Genuine Horace | 138.922222222222 ref
Strange Huntsman | 72.7944444444446 ref
Strange Invis Watch | 37.7666666666667 ref
Strange Australium Knife | 361.594444444445 ref
Strange Lady Killer | 36.8433333333334 ref
Strange Law | 46.4333333333334 ref
Genuine Little Bear | 218.6 ref
Strange Loose Cannon | 51.838888888889 ref
Non-Craftable Lucky No. 42 | 28.6222222222223 ref
Vintage Lugermorph | 107.083333333334 ref
Strange Machina | 218.6 ref
Mann Co. Supply Crate Key | 18.2166666666667 ref
Strange Mann of the Seven Sees | 40.1000000000001 ref
Max's Severed Head | 437.200000000001 ref
Strange Australium Medi Gun | 467.561111111112 ref
Genuine Merc's Pride Scarf | 45.7666666666667 ref
Strange Australium Minigun | 382.550000000001 ref
Strange Original | 81.5333333333335 ref
Genuine Point and Shoot | 31.1444444444445 ref
Strange Pyromancer's Hood | 30.2888888888889 ref
Pyrovision Goggles | 33.6944444444445 ref
Strange Righteous Bison | 53.5777777777779 ref
Strange Australium Rocket Launcher | 916.905555555557 ref
Strange Australium SMG | 161.805555555556 ref
Strange Sangu Sleeves | 36.4333333333334 ref
Strange Australium Scattergun | 614.88888888889 ref
Genuine Sharp Dresser | 54.6500000000001 ref
Genuine Shred Alert | 32.4777777777778 ref
Strange Snack Attack | 55.4333333333334 ref
Strange Australium Sniper Rifle | 598.077777777779 ref
Strange Snow Sleeves | 39.7666666666667 ref
Strange Sole Mate | 36.4333333333334 ref
Spine-Chilling Skull | 37.0277777777778 ref
Non-Craftable Spine-Chilling Skull | 34.3611111111112 ref
Non-Craftable Spine-Chilling Skull 2011 | 36.4333333333334 ref
Strange Australium Stickybomb Launcher | 291.466666666667 ref
Strange Bacon Grease | 163.95 ref
